"","licence_numbers","business_name","name_of_license","premise_address","postcodes","lat","long"
"269","S02033P000","COLD STORAGE","COLD STORAGE SINGAPORE (1983) PTE LTD","440 PASIR RIS DRIVE 4 #01-01, S(510440)","510440",1.36905405,103.958562248284
"270","S02034N000","FAIRPRICE","NTUC FAIRPRICE CO-OPERATIVE LTD","1 PASIR RIS CENTRAL STREET 3 #B1-10, S(518457)","518457",1.37244208,103.94972357651
"271","S02036K000","GIANT","COLD STORAGE SINGAPORE (1983) PTE LTD","9 TAMPINES STREET 32 #01-30, S(529286)","529286",1.3543836,103.9602606
"272","S02037J000","ONE SUPERMARKET","ONE SUPERMARKET PTE. LTD.","201B TAMPINES STREET 21 #01-1091, S(522201)","522201",48.68603905,21.3951852766669
"273","S02038E000","GIANT","COLD STORAGE SINGAPORE (1983) PTE LTD","829 TAMPINES STREET 81 #01-284/8, S(520829)","520829",49.0039415,22.2336337
"274","S02039C000","FAIRPRICE","NTUC FAIRPRICE CO-OPERATIVE LTD","4 TAMPINES CENTRAL 5 #B1-12, TAMPINES MALL S(529510)","529510",1.35245603,103.94483911
"275","S02040X000","PRIME SUPERMARKET","PRIME SUPERMARKET LIMITED","823 TAMPINES STREET 81 #01-160, S(520823)","520823",1.3486378,103.934040843353
"276","S02041P000","Prime Food & Grocer","PRIME SUPERMARKET (1996) PTE LTD","2 TAMPINES CENTRAL 5 #B1-07, CENTURY SQUARE S(529509)","529509",1.35232162857143,103.943986394732
"277","S02048B000","SHENG SIONG SUPERMARKET","SHENG SIONG SUPERMARKET PTE LTD","739A BEDOK RESERVOIR ROAD #01-01, MULTI STOREY CAR PARK S(471739)","471739",1.3381475,103.923460252589
"278","S02049A000","FAIRPRICE","NTUC FAIRPRICE CO-OPERATIVE LTD","745 BEDOK RESERVOIR ROAD #01-3015, S(470745)","470745",1.337381225,103.921768822836
"279","S02051L000","FAIRPRICE","NTUC FAIRPRICE CO-OPERATIVE LTD","192 LORONG 4 TOA PAYOH #01-672, S(310192)","310192",1.331623425,103.850746633586
"280","S02052K000","FAIRPRICE","NTUC FAIRPRICE CO-OPERATIVE LTD","475 TAMPINES STREET 44 #01-145, S(520475)","520475",1.3602346,103.9531029
"281","S02053J000","FAIRPRICE","NTUC FAIRPRICE CO-OPERATIVE LTD","107 TAMPINES STREET 11 #01-353/9, S(521107)","521107",16.5518967,80.726741
"282","S02054E000","FAIRPRICE","NTUC FAIRPRICE CO-OPERATIVE LTD","11 RIVERVALE CRESCENT #03-01, RIVERVALE MALL S(545082)","545082",1.39219060714286,103.904572002978
"283","S02055C000","FAIRPRICE","NTUC FAIRPRICE CO-OPERATIVE LTD","118 RIVERVALE DRIVE #01-08, RIVERVALE PLAZA S(540118)","540118",1.3853753,103.9018221
"284","S02056B000","FAIRPRICE FINEST","NTUC FAIRPRICE CO-OPERATIVE LTD","301 UPPER THOMSON ROAD #03-25, THOMSON PLAZA S(574408)","574408",1.3542082875,103.836177459108
"285","S02057A000","GIANT","COLD STORAGE SINGAPORE (1983) PTE LTD","181 LORONG 4 TOA PAYOH #01-602, S(310181)","310181",46.179401325,21.3223965729559
"286","S02058V000","SHENG SIONG SUPERMARKET","SHENG SIONG SUPERMARKET PTE LTD","200 UPPER THOMSON ROAD #B1-01, THOMSON IMPERIAL COURT S(574424)","574424",1.3518705,103.8360699
"287","S02059X000","PRIME SUPERMARKET","PRIME SUPERMARKET (1996) PTE LTD","106 HOUGANG AVENUE 1 #01-1213, S(530106)","530106",1.35371445,103.89067
"288","S02103A000","FAIRPRICE","NTUC FAIRPRICE CO-OPERATIVE LTD","500 LORONG 6 TOA PAYOH, HDB HUB S(310500)","310500",1.333256,103.847343
"289","S02127E000","PRIME SUPERMARKET","PRIME SUPERMARKET LIMITED","108 PUNGGOL FIELD #01-02, S(820108)","820108",1.399399525,103.902950689406
"290","S02151E000","PRIME SUPERMARKET","PRIME SUPERMARKET LIMITED","263 COMPASSVALE STREET #01-01, S(540263)","540263",1.3950188125,103.895969263115
"291","S02169J000","GIANT","COLD STORAGE SINGAPORE (1983) PTE LTD","525 ANG MO KIO AVENUE 10 #01-2401, S(560525)","560525",1.372842,103.8539753
"292","S02185J000","GIANT","COLD STORAGE SINGAPORE (1983) PTE LTD","982 BUANGKOK CRESCENT #01-01, S(530982)","530982",1.38088285,103.87924135
"293","S02204N000","GIANT","COLD STORAGE SINGAPORE (1983) PTE LTD","260 KIM KEAT AVENUE #01-01, S(310260)","310260",1.33213408333333,103.857378594768
"294","S02210X000","GIANT EXPRESS","COLD STORAGE SINGAPORE (1983) PTE LTD","631 BEDOK RESERVOIR ROAD #01-954, S(470631)","470631",1.33326499166667,103.914865472114
"295","S91085V000","FAIRPRICE","NTUC FAIRPRICE CO-OPERATIVE LTD","110 LENGKONG TIGA #01-233/5, S(410110)","410110",47.0750629,21.9358037
"296","S94081C000","FAIRPRICE","NTUC FAIRPRICE CO-OPERATIVE LTD","279 BISHAN STREET 24 #01-62/64, S(570279)","570279",1.35720235,103.84383675
"297","S97079B000","SHENG SIONG SUPERMARKET","SHENG SIONG SUPERMARKET PTE LTD","4 LORONG 7 TOA PAYOH #01-107, S(310004)","310004",30.3127042,120.169977601905
"298","S97166P000","COLD STORAGE","COLD STORAGE SINGAPORE (1983) PTE LTD","21 HOUGANG STREET 51 #01-52, HOUGANG GREEN SHOPPING MALL S(538719)","538719",1.3793601,103.8879188
"299","S98084K000","FAIRPRICE","NTUC FAIRPRICE CO-OPERATIVE LTD","734 PASIR RIS STREET 72 #01-37, (PASIR RIS 734 NEW MARKET) S(510734)","510734",48.99407245,19.6682900285087
"300","SCE19007L000","HAO MART","HAO MART PTE. LTD.","13 STAMFORD ROAD #B2-13,#B2-14,#B2-15,#B2-16,#B2-17,#B2-18,#B2-19,#B2-20,#B2-21, CAPITOL PIAZZA S(178905)","178905",1.29299675,103.851796475
"301","SCE19018E000","The Gourmet Pantry","American Club, The","10 CLAYMORE HILL, AMERICAN CLUB S(229573)","229573",1.3083846,103.832235533364
"302","SCE19020X000","Jasons Deli By Cold Storage","COLD STORAGE SINGAPORE (1983) PTE LTD","2 ORCHARD TURN #B4-01, ION ORCHARD S(238801)","238801",1.30398803571429,103.832151530425
"303","SCE20024E000","Ryan's Grocery","RYAN'S GROCERY (GWC) PTE. LTD.","1 KIM SENG PROMENADE #B1-144,#B1-145, GREAT WORLD CITY S(237994)","237994",1.29340631153846,103.832105580271
"304","SCE20035A000","Mmmm!","WATER TIGER TRADING PTE. LTD.","238 THOMSON ROAD #01-79/80, NOVENA SQUARE S(307683)","307683",1.32009852222222,103.843870688733
"305","SCE20042B000","FORTUNE SUPERMARKET","FORTUNE SUPERMARKET PTE. LTD.","233 LORONG 8 TOA PAYOH #01-260, TOA PAYOH EIGHT S(310233)","310233",1.33827375,103.858502617308
"306","SCE20058J000","PRIME SUPERMARKET","PRIME SUPERMARKET (1996) PTE LTD","106 BIDADARI PARK DRIVE #01-06, S(340106)","340106",37.94398,23.7215716
"307","SCE20059E000","SHENG SIONG SUPERMARKET","SHENG SIONG SUPERMARKET PTE LTD","455 SENGKANG WEST AVENUE #01-16, S(790455)","790455",1.391858575,103.871393022357
"308","SCE20061X000","AIM","HAO MART PTE. LTD.","90 BRAS BASAH ROAD #B1-13,#B1-13A,#B1-14,#B1-14A,#B1-15,#B1-15A,#B1-16,#B1-16A,#B1-17,#B1-17A, ESPLANADE MRT STATION S(189562)","189562",1.2936325,103.85538595
"309","SCE20063N000","FAIRPRICE FINEST","NTUC FAIRPRICE CO-OPERATIVE LTD","12 ALEXANDRA VIEW #01-18, ARTRA S(158736)","158736",-37.3984975,-68.5477186
"310","SCE20090J000","CHOROK MARKET","CHOROK MARKET PTE. LTD.","277 ORCHARD ROAD #B1-05, ORCHARD GATEWAY S(238858)","238858",1.30060035833333,103.839206291447
"311","SCE20097P000","FAMILY NEEDS","FAMILY NEEDS  CITYGATE PTE. LTD.","371 BEACH ROAD #01-06,#01-07, CITY GATE S(199597)","199597",18.98992,94.19371
"312","SCE20100P000","CHINESE INTERNATIONAL COMMODITY CITY","CHINESE INTERNATIONAL COMMODITY CITY PTE. LTD.","1 PARK ROAD #04-63,#05-01, PEOPLE'S PARK COMPLEX S(059108)","059108",1.284251875,103.842770179505
"313","SCE20103K000","Meidi-Ya Supermarket","MEIDI-YA SINGAPORE CO (PTE) LTD","9 RAFFLES BOULEVARD #02-26/36, MILLENIA WALK S(039596)","039596",1.29306626,103.859574156215
"314","SCE20119P000","Green Olive Group","GREEN OLIVE GROUP PTE. LTD.","1 PARK ROAD #02-70, PEOPLE'S PARK COMPLEX S(059108)","059108",1.284251875,103.842770179505
"315","SCE21010K000","MB Supermart","MUOI MUOI TRADING","3 ST. GEORGE'S ROAD #01-113, ST GEORGE'S WEST GARDENS S(320003)","320003",24.9594037666667,121.227418415879
"316","SCE21013C000","Atas Palate","ATAS PALATE PRIVATE LIMITED","138 ROBINSON ROAD #03-10, OXLEY TOWER S(068906)","068906",1.27879065,103.848532185346
"317","SCE21019N000","JAPANHOLIC","JAPANHOLIC PTE. LTD.","138 ROBINSON ROAD #02-36, OXLEY TOWER S(068906)","068906",1.27879065,103.848532185346
"318","SCE21026P000","Maturo","MATURO PTE. LTD.","371 BEACH ROAD #B1-17, CITY GATE S(199597)","199597",18.98992,94.19371
"319","SCE21033X000","Sol Mart","SOL MART PTE. LTD.","10 SINARAN DRIVE #03-06,#03-07,#03-08, SQUARE 2 S(307506)","307506",1.32076025,103.844288793338
"320","SCE21051N000","DON DON DONKI","PAN PACIFIC RETAIL MANAGEMENT (SINGAPORE) PTE. LTD.","3 TEMASEK BOULEVARD #02-380,#02-381,#02-382,#02-383,#02-384,#02-385,#02-386,#02-387,#02-379, SUNTEC CITY MALL S(038983)","038983",1.29463464210526,103.858533363822
"321","SE04012L000","FAIRPRICE","NTUC FAIRPRICE CO-OPERATIVE LTD","2 JOO CHIAT ROAD #01-1139, JOO CHIAT COMPLEX S(420002)","420002",47.12355785,24.68083165
"322","SE04040C000","PRIME SUPERMARKET","PRIME SUPERMARKET LIMITED","1 UPPER ALJUNIED LANE #01-01, S(360001)","360001",22.292741104023,70.7933471434599
"323","SE04069A000","SHENG SIONG SUPERMARKET","SHENG SIONG SUPERMARKET PTE LTD","209 NEW UPPER CHANGI ROAD #01-631, S(460209)","460209",1.32452595,103.931065059732
"324","SE04109X000","MCP FAIRMART","MCP FAIRMART PTE. LTD.","89 BEDOK NORTH STREET 4 #01-107, S(460089)","460089",1.332542,103.938178234143
"325","SE04130B000","FAIRPRICE","NTUC FAIRPRICE CO-OPERATIVE LTD","41 JALAN TIGA #01-05, S(390041)","390041",1.30776161666667,103.884779418594
"326","SE05117K000","FAIRPRICE","TEO BOBBY","253 SERANGOON CENTRAL DRIVE #01-241, S(550253)","550253",45.7992202333333,24.1567723124342
"327","SE06112L000","HAO MART","HAO MART PTE. LTD.","15 SIGLAP ROAD #01-01, MANDARIN GARDENS S(448912)","448912",1.30704985,103.923766451834
"328","SE06125B000","HAO MART","HAO MART PTE. LTD.","54 BAYSHORE ROAD #01-07-08, BAYSHORE PARK S(469979)","469979",1.31178935,103.93686684467
"329","SE06616X000","Hoe Kee Huat Supermarket","LIN POH LING","212 LORONG 8 TOA PAYOH #01-43/45, S(310212)","310212",1.340656,103.854226733333
"330","SE07216L000","COLD STORAGE","COLD STORAGE SINGAPORE (1983) PTE LTD","5 STADIUM WALK #B1-01, LEISURE PARK S(397693)","397693",1.302339625,103.87612605
"331","SE07559P000","FAIRPRICE","NTUC FAIRPRICE CO-OPERATIVE LTD","65 AIRPORT BOULEVARD #B2-10, CHANGI AIRPORT TERMINAL 3 S(819663)","819663",1.35592701923077,103.986483322559
"332","SE09608P000","COLD STORAGE","COLD STORAGE SINGAPORE (1983) PTE LTD","56 MARINE TERRACE #01-259, S(440056)","440056",53.14915075,45.012263007199
"333","SE09706N000","-","NTUC FAIRPRICE CO-OPERATIVE LTD","5 EUNOS CRESCENT #01-2619, S(400005)","400005",48.7221627386939,44.5335720577071
"334","SE10564B000","FAIRPRICE XTRA","NTUC FAIRPRICE CO-OPERATIVE LTD","23 SERANGOON CENTRAL #03-42, NEX S(556083)","556083",1.3504834625,103.872632616924
"335","SE10579K000","COLD STORAGE","COLD STORAGE SINGAPORE (1983) PTE LTD","23 SERANGOON CENTRAL #B2-44/45, NEX S(556083)","556083",1.3504834625,103.872632616924
"336","SE11071C000","FAIRPRICE","NTUC FAIRPRICE CO-OPERATIVE LTD","89 BEDOK NORTH STREET 4 #01-77/79, S(460089)","460089",1.332542,103.938178234143
"337","SE11317V000","EN FROZEN","EN FROZEN PTE. LTD.","1 GEYLANG SERAI #01-198, S(402001)","402001",1.3166958,103.898219533687
"338","SE11505P000","COLD STORAGE","COLD STORAGE SINGAPORE (1983) PTE LTD","291 JOO CHIAT ROAD #01-01, S(427543)","427543",1.3098863,103.902122
"339","SE11577E000","FAIRPRICE","NTUC FAIRPRICE CO-OPERATIVE LTD","612-620 GEYLANG ROAD, S(389551)","389551",1.3142663,103.88865415
"340","SE11947P000","FAIRPRICE FINEST","NTUC FAIRPRICE CO-OPERATIVE LTD","5 CHANGI BUSINESS PARK CENTRAL 1 #B1-08/11, CHANGI CITY POINT S(486038)","486038",1.33425807142857,103.962513271429
"341","SE11D22K000","Mmmm!","WATER TIGER INVESTMENTS PTE. LTD.","5 CHANGI BUSINESS PARK CENTRAL 1 #B1-23, CHANGI CITY POINT S(486038)","486038",1.33425807142857,103.962513271429
"342","SE12G19X000","FAIRPRICE","NTUC FAIRPRICE CO-OPERATIVE LTD","8 CHANGI BUSINESS PARK AVENUE 1, UE BIZHUB EAST S(486018) #01-51 & #02-51","486018",1.3349889,103.9635572
"343","SE13135L000","FAIRPRICE","NTUC FAIRPRICE CO-OPERATIVE LTD","311 NEW UPPER CHANGI ROAD #B2-60, BEDOK MALL S(467360)","467360",1.32453239375,103.929128709872
"344","SE13S71X000","FAIRPRICE","NTUC FAIRPRICE CO-OPERATIVE LTD","57 NEW UPPER CHANGI ROAD #01-1334, S(461057)","461057",1.32427533333333,103.941573089868
"345","SE13S89V000","COLD STORAGE","COLD STORAGE SINGAPORE (1983) PTE LTD","2 FIRST STREET #01-05-16, SIGLAP V S(458278)","458278",1.31279515,103.923618919826
"346","SE13U91V000","FAIRPRICE","NTUC FAIRPRICE CO-OPERATIVE LTD","30 EAST COAST ROAD #01-06-09, VILLAGE HOTEL KATONG S(428751)","428751",1.30377,103.90291
"347","SE14377P000","COLD STORAGE","COLD STORAGE SINGAPORE (1983) PTE LTD","430 UPPER CHANGI ROAD #01-47, EAST VILLAGE S(487048)","487048",1.33180138333333,103.94635523298
"348","SE14441L000","SHENG SIONG SUPERMARKET","SHENG SIONG SUPERMARKET PTE LTD","6 POTONG PASIR AVENUE 2 #01-03, POTONG PASIR COMMUNITY CLUB S(358361)","358361",1.33258084,103.867173313083
"349","SE14467N000","FAIRPRICE","NTUC FAIRPRICE CO-OPERATIVE LTD","1 STADIUM PLACE #01-29, KALLANG WAVE MALL S(397628)","397628",50.566666,40.75111
"350","SE14775X000","FAIRPRICE","NTUC FAIRPRICE CO-OPERATIVE LTD","3 SIMEI STREET 6 #05-01, EASTPOINT MALL S(528833)","528833",1.3427311,103.9530645
"351","SE14875L000","HAO MART","HAO MART PTE. LTD.","11 TANJONG KATONG ROAD #B1-36, KINEX S(437157)","437157",47.590739,23.3434742
"352","SE14965K000","Meat Collective","MEAT COLLECTIVE SINGAPORE PRIVATE LIMITED","342 TANJONG KATONG ROAD, S(437112)","437112",47.504405,23.7110178
"353","SE14A83A000","COLD STORAGE","COLD STORAGE SINGAPORE (1983) PTE LTD","60 PAYA LEBAR ROAD #B1-01-05, PAYA LEBAR SQUARE S(409051)","409051",1.31950714375,103.892468892824
"354","SE14C27C000","Zac Butchery","COMMONWEALTH CONCEPTS PTE. LTD.","1B FIGARO STREET, OPERA ESTATE S(458322)","458322",1.3158062,103.9262223
"355","SE15043B000","FOODIE MARKET PLACE","FOODIE MARKET PLACE PTE. LTD.","313 TANJONG KATONG ROAD, S(437096)","437096",47.6834381,23.3997116
"356","SE16233J000","SHENG SIONG SUPERMARKET","SHENG SIONG SUPERMARKET PTE LTD","18B CIRCUIT ROAD #01-260, MACPHERSON RESIDENCY S(372018)","372018",1.329263075,103.888431783734
"357","SE17082P000","FAIRPRICE","NTUC FAIRPRICE CO-OPERATIVE LTD","18 TAI SENG STREET #B1-13, S(539775)","539775",1.33625362083333,103.888800099838
"358","SE17401C000","TIM'S FROZEN","TANG KER AN, TIMOTHY","18 BEDOK SOUTH ROAD #01-67, S(460018)","460018",51.7799968826087,55.1205709041382
"359","SE17481P000","FAIRPRICE","NTUC FAIRPRICE CO-OPERATIVE LTD","10 EUNOS ROAD 8 #B1-104,#B1-103,#B1-102,#B1-105,#B1-101, SINGAPORE POST CENTRE S(408600)","408600",1.31886176428571,103.89379063074
"360","SE17500A000","HAO MART","HAO MART PTE. LTD.","69 BEDOK SOUTH AVENUE 3 #01-484, S(460069)","460069",1.3193665,103.943724850432
"361","SE18544L000","JMD RETAIL","JMD RETAIL PTE. LTD.","330 TANJONG KATONG ROAD, S(437106)","437106",47.5429932,23.6253111
"362","SE19104A000","FAIRPRICE FINEST","NTUC FAIRPRICE CO-OPERATIVE LTD","78 AIRPORT BOULEVARD #B2-206,#B2-205,#B2-207,#B2-208, S(819666)","819666",1.3602094,103.989986309071
"363","SE19557P000","The Seafood Market Place by Song Fish","SONG FISH DEALER PTE LTD","10 PAYA LEBAR ROAD #B2-11, S(409057)","409057",1.31758558076923,103.892924938337
"364","SE19562A000","FAIRPRICE","NTUC FAIRPRICE CO-OPERATIVE LTD","10 PAYA LEBAR ROAD #B2-09, S(409057)","409057",1.31758558076923,103.892924938337
"365","SNE19006A000","SHENG SIONG SUPERMARKET","SHENG SIONG SUPERMARKET PTE LTD","602A TAMPINES AVENUE 9 #01-01, S(521602)","521602",1.361048275,103.937436307417
"366","SNE19019L000","PRIME SUPERMARKET","PRIME SUPERMARKET (1996) PTE LTD","322 SUMANG WALK #01-07, MULTI STOREY CAR PARK S(820322)","820322",1.41133534285714,103.897664364244
"367","SNE20031P000","U Stars Supermarket","U STARS SUPERMARKET PTE. LTD.","829 TAMPINES STREET 81 #01-272,#01-274,#01-276,#01-278, TAMPINES GROVE S(520829)","520829",49.0039415,22.2336337
"368","SNE20033L000","DANISHA TRADING","DANISHA TRADING PTE. LTD.","476 UPPER SERANGOON VIEW #02-14, HOUGANG CAPEVIEW S(530476)","530476",1.3773579,103.9037449
"369","SNE20045C000","The Foodcellar","CLEMENTS FOODCELLAR PTE. LTD.","39 LOWLAND ROAD, LOWLAND GARDEN S(547441)","547441",46.4710897,24.3098753
"370","SNE20089B000","Our Boss","OURBOSS PTE. LTD.","625 ELIAS ROAD #01-330, ELIAS MALL S(510625)","510625",1.37868825,103.941865017552
"371","SNE20114L000","REDMAN BY PHOON HUAT","PHOON HUAT PTE. LTD.","1 PASIR RIS CLOSE #01-101, E!HUB@DOWNTOWN EAST S(519599)","519599",1.37735109166667,103.955002724164
"372","SNE21004N000","JO MARKET","JO MARKET","505 TAMPINES CENTRAL 1 #01-333,#01-335, S(520505)","520505",1.35552565,103.945558212328
"373","SNE21016E000","DON DON DONKI","PAN PACIFIC RETAIL MANAGEMENT (SINGAPORE) PTE. LTD.","1 PASIR RIS CLOSE #01-339,#01-347, E!HUB@DOWNTOWN EAST S(519599)","519599",1.37735109166667,103.955002724164
"374","SNE21038P000","Ace Dynamic","ACE DYNAMIC HOLDINGS PTE. LTD.","151 LORONG CHUAN #01-22, NEW TECH PARK S(556741)","556741",1.35202328333333,103.860804970327
"375","SNE21044V000","PRIME SUPERMARKET","PRIME SUPERMARKET (1996) PTE LTD","610 TAMPINES NORTH DRIVE 1 #01-11, S(520610)","520610",1.36444245,103.937460239544
"376","SNE21047N000","Cut Butchery","CAVENDISH SUPPLIES PTE. LTD.","1 MAJU AVENUE #B1-06, MYVILLAGE AT SERANGOON GARDEN S(556679)","556679",1.3649792375,103.865213455246
"377","SNE21057K000","Toko Warisan Halal Frozen","TOKO WARISAN TRADING","201D TAMPINES STREET 21 #01-1159, S(524201)","524201",14.9078833611379,79.9920095636003
"378","SNW19005L000","SHENG SIONG SUPERMARKET","SHENG SIONG SUPERMARKET PTE LTD","182 WOODLANDS STREET 13 #01-01, MULTI STOREY CAR PARK S(730182)","730182",1.4351831,103.77600145457
"379","SNW20023C000","ANY MO SUPERMARKET","ANG MO SUPERMARKET PTE LTD","361 SEMBAWANG CRESCENT #01-10, MULTI STOREY CAR PARK S(750361)","750361",49.007108,15.3397875207549
"380","SNW20050V000","FAIRPRICE","NTUC FAIRPRICE CO-OPERATIVE LTD","133 CANBERRA VIEW #B1-03,#B1-04, S(750133)","750133",1.4431568,103.830617995994
"381","SNW20055K000","The Seafood Market Place by Song Fish","SONG FISH DEALER PTE LTD","1 JELEBU ROAD #01-32, BUKIT PANJANG PLAZA S(677743)","677743",1.37990744,103.764328138866
"382","SNW20062L000","REDMAN BY PHOON HUAT","PHOON HUAT PTE. LTD.","1 JELEBU ROAD #01-33/34, BUKIT PANJANG PLAZA S(677743)","677743",1.37990744,103.764328138866
"383","SNW20069V000","Meat United","MEAT UNITED PRIVATE LIMITED","896 DUNEARN ROAD #01-08, LINK@896 S(589472)","589472",1.33669325,103.7835852
"384","SNW21002E000","PHOON HUAT","PHOON HUAT PTE. LTD.","51 YISHUN CENTRAL 1 #01-03, YISHUN 10 CINEMA COMPLEX S(768794)","768794",1.42993118333333,103.83630222844
"385","SNW21008P000","Maison Marie","MAISON MARIE PTE. LTD.","384 UPPER BUKIT TIMAH ROAD, S(678042) (Half Unit 382)","678042",44.6401389,11.1902627
"386","SSE20087J000","Our Boss","OURBOSS PTE. LTD.","28 FERNWOOD TERRACE #01-01, S(458556)","458556",24.2371691666667,75.1784439
"387","SSE20099A000","Bowl & Bowl","BOWLICIOUS PTE. LTD.","3 IRVING ROAD #01-19, TAI SENG CENTRE S(369522)","369522",1.3358057,103.886916087257
"388","SSE21005N000","FAIRPRICE HYPERMART","NTUC FAIRPRICE CO-OPERATIVE LTD","80 MARINE PARADE ROAD #03-28, PARKWAY PARADE S(449269)","449269",1.30138530142857,103.905317458343
"389","SSE21017E000","LITTLE FARMS","LITTLE FARMS PTE. LTD.","451 JOO CHIAT ROAD #01-01,#01-03, KATONG POINT S(427664)","427664",57.5406906,52.0986125
"390","SSE21022L000","BLOOPBLOOP MARKET","BLOOPBLOOP MARKET LLP","26A CHAI CHEE ROAD #01-399, S(461026) PART OF LEFT","461026",1.32348975,103.923348915929
"391","SSE21054X000","Aunty's Supermart Trading","AUNTY'S SUPERMART TRADING PTE. LTD.","58 MARINE TERRACE #01-67, MARINE TERRACE HAVEN S(440058)","440058",47.8004815,22.8764076
"392","SSW19008P000","S Power Supermart","S POWER GLOBAL PTE. LTD.","18 SUNGEI KADUT STREET 2 #01-05, SUNGEI KADUT INDUSTRIAL ESTATE S(729236)","729236",1.41265810833333,103.747711027247
"393","SSW19022V000","DON DON DONKI","PAN PACIFIC RETAIL MANAGEMENT (SINGAPORE) PTE. LTD.","50 JURONG GATEWAY ROAD #2-24,#2-25,#2-26,#3-27, JEM S(608549)","608549",1.334795625,103.754223937565
"394","SSW20070A000","REDMAN BY PHOON HUAT","PHOON HUAT PTE. LTD.","3 GATEWAY DRIVE #B1-23, WESTGATE S(608532)","608532",1.33418643333333,103.742952797225
"395","SSW20071V000","DON DON DONKI","PAN PACIFIC RETAIL MANAGEMENT (SINGAPORE) PTE. LTD.","1 MARITIME SQUARE #03-23/38, HARBOURFRONT CENTRE S(099253)","099253",1.26434405,103.820225342953
"396","SSW20073P000","Frozen Bagus","TANG KER AN, TIMOTHY","352 CLEMENTI AVENUE 2 #01-137, CLEMENTI AVENUE 2 SHOPPING CENTRE S(120352)","120352",1.31485926666667,103.77142844271
"397","SSW20085J000","the seafood place by chai","CHAI SEAFOOD","148F PASIR PANJANG ROAD, S(118553)","118553",-45.73349,-67.51935
"398","SSW20088B000","123 MART","123 MART PTE. LTD.","354 CLEMENTI AVENUE 2 #01-233, CLEMENTI AVENUE 2 SHOPPING CENTRE S(120354)","120354",1.313987425,103.771157572004
"399","SSW21007E000","HAO MART","HAO MART PTE. LTD.","4 JALAN MAT JAMBOL #B1-01/11, BIJOU S(119555)","119555",14.8693941,120.234891124925
"400","SSW21021K000","KARAIKUDI MINIMART","SRI SEVUGA PERUMAL PTE. LTD.","48 TOH GUAN ROAD EAST #01-98, ENTERPRISE HUB S(608586)","608586",1.33683116666667,103.75430375529
"401","SSW21037P000","FAIRPRICE","NTUC FAIRPRICE CO-OPERATIVE LTD","533 CHOA CHU KANG STREET 51 #01-01, LIMBANG SHOPPING CENTRE S(680533)","680533",10.5790486666667,76.0514113153053
"402","SW04097K000","PRIME SUPERMARKET","PRIME SUPERMARKET LIMITED","159 BUKIT BATOK STREET 11 #01-178, S(650159)","650159",1.3487151,103.742948954099
"403","SW04158X000","FAIRPRICE","NTUC FAIRPRICE CO-OPERATIVE LTD","108 DEPOT ROAD #01-01, DEPOT HEIGHTS SHOPPING CENTRE S(100108)","100108",0.335359366666667,-78.1244469660193
